[-0.178, 0.017, 0.172, -0.159, 0.187, 0.165, 0.024, 0.149, 0.136, -0.133, 0.016, -0.047, -0.165, -0.089]
[-0.121, -0.174, -0.082, -0.006, 0.128, -0.048, -0.026, -0.06, 0.133, -0.129, -0.129, -0.081, -0.111, 0.147]
[-0.129, 0.062, 0.101, -0.006, 0.128, 0.192, 0.124, -0.062, -0.074, 0.057, -0.13, 0.067, -0.024, -0.085]
[0.045, 0.091, -0.058, -0.038, -0.198, -0.007, -0.13, 0.067, -0.153, 0.117, -0.065, -0.123, -0.108, -0.115]
[-0.126, 0.085, -0.106, -0.149, 0.089, 0.046, -0.156, 0.069, 0.005, 0.141, -0.147, -0.163, 0.029, 0.048]
[-0.026, -0.155, 0.182, -0.001, 0.086, -0.187, -0.053, 0.077, 0.028, 0.033, -0.143, 0.08, -0.136, -0.119]
[0.189, 0.019, 0.176, -0.074, 0.058, 0.034, -0.156, -0.106, -0.009, -0.197, -0.195, 0.132, 0.095, -0.116]
[-0.02, -0.069, 0.165, 0.018, 0.069, -0.193, -0.042, -0.004, -0.16, -0.156, -0.095, -0.119, 0.159, -0.12]
[0.115, -0.154, -0.067, -0.134, -0.018, -0.142, 0.195, 0.007, -0.168, 0.137, -0.028, 0.094, -0.053, -0.01]
[-0.181, 0.136, 0.057, 0.129, 0.08, -0.181, 0.09, -0.188, 0.18, -0.187, -0.057, -0.182, -0.144, 0.171]
